slug,title,action,anchor_text,href,remapped_href,link_type
the-13-best-beaches-in-bali,The 13 Best Beaches in Bali,SKIPPED_NOT_FOUND,Tom Fellmann,https://www.flickr.com/photos/tomfellmann/,https://www.flickr.com/photos/tomfellmann/,external
the-13-best-beaches-in-bali,The 13 Best Beaches in Bali,SKIPPED_NOT_FOUND,Peter Garnham,https://www.flickr.com/photos/petergarnhum/,https://www.flickr.com/photos/petergarnhum/,external
the-13-best-beaches-in-bali,The 13 Best Beaches in Bali,SKIPPED_NOT_FOUND,Bea Pierce,https://www.flickr.com/photos/beapierce/,https://www.flickr.com/photos/beapierce/,external
the-13-best-beaches-in-bali,The 13 Best Beaches in Bali,SKIPPED_NOT_FOUND,I Nengah Januartha,https://www.flickr.com/photos/janumedia/,https://www.flickr.com/photos/janumedia/,external
the-13-best-beaches-in-bali,The 13 Best Beaches in Bali,SKIPPED_NOT_FOUND,Kars Alfrink,https://www.flickr.com/photos/kaeru/,https://www.flickr.com/photos/kaeru/,external
how-to-take-wax-off-a-surfboard,How To Take Wax Off A Surfboard: A Step-by-Step Guide,SKIPPED_NOT_FOUND,Boardshop,https://www.youtube.com/@BoardshopUK,https://www.youtube.com/@BoardshopUK,external
bali-weather-a-month-by-month,Bali Weather: A Month-by-Month Guide For Surfers,SKIPPED_NOT_FOUND,Weather and Climate,https://weatherandclimate.com/indonesia/bali,https://weatherandclimate.com/indonesia/bali,external
top-10-most-dangerous-surf-spots-in-the-world,Top 10 Most Dangerous Surf Spots In The World,SKIPPED_NOT_FOUND,Surf Kawela Hawaii,https://www.youtube.com/@SurfKawelaHawaii,https://www.youtube.com/@SurfKawelaHawaii,external
how-to-capture-surf-photography,How To Capture Stunning Surf Photography,SKIPPED_NOT_FOUND,Salted Line waterproof UW housing for Sony A6xxx series (White) / GEN 3,https://www.saltedlineeurope.com/?srsltid=AfmBOoqcpRdUaYD6XwcBpNukUNkbdwbNsrKZbUFevzDg8NHB3imb7gj4,https://www.saltedlineeurope.com/?srsltid=AfmBOoqcpRdUaYD6XwcBpNukUNkbdwbNsrKZbUFevzDg8NHB3imb7gj4,external
best-surfers-in-the-world,Who Are The Best Surfers In The World In 2025?,SKIPPED_NOT_FOUND,Gadjo Niglo,https://www.flickr.com/photos/gadjodilo974/,https://www.flickr.com/photos/gadjodilo974/,external
best-surfers-in-the-world,Who Are The Best Surfers In The World In 2025?,SKIPPED_NOT_FOUND,Red Bull,https://www.redbull.com/,https://www.redbull.com/,external
how-many-shark-attacks-per-year,How Many Shark Attacks Per Year: It’s Less Than You Would Think,ADDED,International Shark Attack File (ISAF),https://www.floridamuseum.ufl.edu/shark-attacks/,https://www.floridamuseum.ufl.edu/shark-attacks/,external
the-evolution-of-surfboard-designs,The Evolution Of Surfboard Designs,SKIPPED_NOT_FOUND,KDS444,https://commons.wikimedia.org/wiki/User:KDS444,https://commons.wikimedia.org/wiki/User:KDS444,external
square-waves,The Power of Square Waves: Everything Surfers Need to Know,SKIPPED_NOT_FOUND,Bright Side,https://www.youtube.com/@BRIGHTSIDEOFFICIAL,https://www.youtube.com/@BRIGHTSIDEOFFICIAL,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,ADDED,Rapture Surfcamps’ water bottle,https://shop.rapturecamps.com/product/water-bottle/,https://shop.rapturecamps.com/product/water-bottle/,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,ADDED,Rapture Surfcamps offers a couple of options,https://shop.rapturecamps.com/product-category/beach-towels/,https://shop.rapturecamps.com/product-category/beach-towels/,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,ADDED,awesome casualwear here,https://shop.rapturecamps.com/shop/,https://shop.rapturecamps.com/shop/,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,ADDED,beautifully framed poster,https://shop.rapturecamps.com/product/matte-paper-framed-poster-with-mat/,https://shop.rapturecamps.com/product/matte-paper-framed-poster-with-mat/,external
gifts-for-surfers-2024,Top-Rated Gifts for Surfers: 2024 Must-Haves,ADDED,Rapture Surfcamps’s online shop,https://shop.rapturecamps.com/#_ga=2.69846162.388105430.1723112534-1432473239.1715848818,https://shop.rapturecamps.com/#_ga=2.69846162.388105430.1723112534-1432473239.1715848818,external
how-to-pop-up-on-a-surfboard,A Step-by-Step Guide On How To Pop Up On A Surfboard,SKIPPED_NOT_FOUND,Hydro Mind,https://www.youtube.com/@HydroMind,https://www.youtube.com/@HydroMind,external
surfing-safety-tips-in-costa-rica,Surfing Safety: Tips for Staying Safe on Costa Rica’s Waves,SKIPPED_NOT_FOUND,Shiva Shenoy,https://www.flickr.com/photos/shivashenoy/,https://www.flickr.com/photos/shivashenoy/,external
surfing-safety-tips-in-costa-rica,Surfing Safety: Tips for Staying Safe on Costa Rica’s Waves,SKIPPED_NOT_FOUND,Dakine Kane,https://www.flickr.com/photos/ltobrooklyn/,https://www.flickr.com/photos/ltobrooklyn/,external
best-eats-in-tamarindo,Savoring Tamarindo: A Surfers Guide To The Best Eats,ADDED,Seasons,https://www.seasonstamarindo.net/,https://www.seasonstamarindo.net/,external
surf-legends-inspirational-stories,Surf Legends: Inspirational Stories from the Big Waves,SKIPPED_NOT_FOUND,Karendesuyo,https://www.flickr.com/photos/karen_chan/,https://www.flickr.com/photos/karen_chan/,external
surf-legends-inspirational-stories,Surf Legends: Inspirational Stories from the Big Waves,SKIPPED_NOT_FOUND,Luis Ascenso,https://www.flickr.com/photos/107521854@N05/,https://www.flickr.com/photos/107521854@N05/,external
beach-signs-and-flags,Safety First: A Surfer’s Guide to Navigating Beach Signs and Flags,SKIPPED_NOT_FOUND,Jason Crellin,https://www.flickr.com/photos/jasoncrellin/,https://www.flickr.com/photos/jasoncrellin/,external
5-best-surfers,Icons of the Ocean: Profiles of 5 Legendary Surfers,SKIPPED_NOT_FOUND,Vince Basile,https://www.flickr.com/photos/66480811@N07/,https://www.flickr.com/photos/66480811@N07/,external
5-best-surfers,Icons of the Ocean: Profiles of 5 Legendary Surfers,SKIPPED_NOT_FOUND,Troy_Williams,https://www.flickr.com/photos/troy_williams/,https://www.flickr.com/photos/troy_williams/,external
5-best-surfers,Icons of the Ocean: Profiles of 5 Legendary Surfers,SKIPPED_NOT_FOUND,Eva Rinaldi,https://www.flickr.com/photos/evarinaldiphotography/,https://www.flickr.com/photos/evarinaldiphotography/,external
5-best-surfers,Icons of the Ocean: Profiles of 5 Legendary Surfers,SKIPPED_NOT_FOUND,Global Sports Forum,https://www.flickr.com/photos/globalsportsforum/,https://www.flickr.com/photos/globalsportsforum/,external
best-places-to-eat-near-green-bowl,Local Flavours and Thrills: A Guide to the Area Around Green Bowl Surf Camp,SKIPPED_NOT_FOUND,Mike Haller,https://www.flickr.com/photos/mhaller1979/,https://www.flickr.com/photos/mhaller1979/,external
10-biggest-waves-ever-surfed,History Makers: 10 Biggest Waves Ever Surfed,SKIPPED_NOT_FOUND,Luis Ascenso,https://www.flickr.com/photos/107521854@N05/,https://www.flickr.com/photos/107521854@N05/,external
10-biggest-waves-ever-surfed,History Makers: 10 Biggest Waves Ever Surfed,SKIPPED_NOT_FOUND,BirdsEyePix,https://www.flickr.com/photos/38534720@N00/,https://www.flickr.com/photos/38534720@N00/,external
10-biggest-waves-ever-surfed,History Makers: 10 Biggest Waves Ever Surfed,SKIPPED_NOT_FOUND,UltraView,https://www.flickr.com/photos/69658016@N03/,https://www.flickr.com/photos/69658016@N03/,external
10-biggest-waves-ever-surfed,History Makers: 10 Biggest Waves Ever Surfed,SKIPPED_NOT_FOUND,Chris Hoare,https://www.flickr.com/photos/u07ch/,https://www.flickr.com/photos/u07ch/,external
reasons-to-start-surfing-today,10 Reasons to Start Surfing Today!,ADDED,can bring health benefits,https://neuroscience.stanford.edu/news/what-me-worry,https://neuroscience.stanford.edu/news/what-me-worry,external
reasons-to-start-surfing-today,10 Reasons to Start Surfing Today!,ADDED,Bali,http://www.surfcamp.travel/bali/,http://www.surfcamp.travel/bali/,external
reasons-to-start-surfing-today,10 Reasons to Start Surfing Today!,ADDED,Portugal,http://www.surfcampinportugal.com/,http://www.surfcampinportugal.com/,external
surf-etiquette-for-surfers,The Unspoken Rules of Surfing – A Guide to Surf Etiquette,SKIPPED_NOT_FOUND,Book a stay at any one of our luxurious and exotic surf camps around the world by clicking here!,https://bookings.rapturecamps.com/en/,https://bookings.rapturecamps.com/en/,external
currency-bali,Bali Currency 101: Understanding the Rupiah,ADDED,by OANDA,https://www.oanda.com/currency/converter/,https://www.oanda.com/currency/converter/,external
7-biggest-waves-in-the-world,7 of The Biggest Waves in the World,SKIPPED_NOT_FOUND,BirdsEyePix,https://www.flickr.com/photos/38534720@N00/,https://www.flickr.com/photos/38534720@N00/,external
7-biggest-waves-in-the-world,7 of The Biggest Waves in the World,SKIPPED_NOT_FOUND,UltraView,https://www.flickr.com/photos/69658016@N03/,https://www.flickr.com/photos/69658016@N03/,external
7-biggest-waves-in-the-world,7 of The Biggest Waves in the World,SKIPPED_NOT_FOUND,Chris Hoare,https://www.flickr.com/photos/u07ch/,https://www.flickr.com/photos/u07ch/,external
7-biggest-waves-in-the-world,7 of The Biggest Waves in the World,SKIPPED_NOT_FOUND,John Menard,https://www.flickr.com/photos/jmenard48/,https://www.flickr.com/photos/jmenard48/,external
whens-the-best-time-to-surf-in-portugal,When is the Surf Season in Portugal?,SKIPPED_NOT_FOUND,"Ana Isa
										Customer Support Happiness",https://www.rapturecamps.com/meet-us-online/,/meet-us,internal
why-is-surfing-popular,29 Reasons Why Everyone Loves Surfing,ADDED,Bali,http://surfcamp.travel/bali,http://surfcamp.travel/bali,external
why-is-surfing-popular,29 Reasons Why Everyone Loves Surfing,ADDED,Portugal,http://surfcamp.travel/portugal,http://surfcamp.travel/portugal,external
things-to-do-in-taghazout,"9 Awesome Things to do in Taghazout, Morocco",SKIPPED_NOT_FOUND,"Ana Isa
										Morocco Specialist",https://meetings.hubspot.com/ana-isa,https://meetings.hubspot.com/ana-isa,external
best-surf-spots-in-morocco,10 of the Best Surf Beaches in Morocco,SKIPPED_NOT_FOUND,"Ana Isa
										Morocco Surf Specialist",https://meetings.hubspot.com/ana-isa,https://meetings.hubspot.com/ana-isa,external
co-living-ericeira-villa,"Co-Living Ericeira, Portugal",SKIPPED_NOT_FOUND,private apartments,https://www.rapturecamps.com/de/blog/surf-apartment-portugal/,/de/blog/surf-apartment-portugal,internal
nicaragua-travel-guide-what-you-need-to-know,Nicaragua Travel Guide – What you Need to Know before Visiting,ADDED,TUI Airways,https://tui.co.uk/flight/costa-rica-flights,https://tui.co.uk/flight/costa-rica-flights,external
portugal-travel-guide-all-you-need-to-know-before-you-plan-a-trip,Portugal Travel Guide 2024 – All You Need to Know Before you Plan a Trip,ADDED,TUI Belgium,https://tuifly.be/en/destinos/portugal,https://tuifly.be/en/destinos/portugal,external
top-10-surfing-destinations-in-the-world,10 Best Surf Spots in the World,ADDED,CNN,http://edition.cnn.com/2013/06/30/travel/50-surf-spots/,http://edition.cnn.com/2013/06/30/travel/50-surf-spots/,external
surfing-bali,Bali Surfing 101: Everything You Need to Know Before Hitting the Waves,ADDED,BOOK NOW,https://bookings.rapturecamps.com/,https://bookings.rapturecamps.com/,external
awayco-light-gearless-travelling,Premium Surf Rental now in Bali,ADDED,FIND YOUR GEAR,https://awayco.com/products,https://awayco.com/products,external
how-to-style-like-a-surfer-rapturecamps,How to Dress like a Surfer? 12 Tips to Get Started,ADDED,Rapturecamps merchandise,https://shop.rapturecamps.com/,https://shop.rapturecamps.com/,external
the-definitive-surfers-guide-to-lisbon,From Beaches to Bistros: A Surfer’s Guide to the Best Things to Do in Lisbon,SKIPPED_NOT_FOUND,Tapisco,https://lisboacool.com/en/eat/tapisco,https://lisboacool.com/en/eat/tapisco,external
expert-travels-tips-first-learn-to-surf-trip-to-bali,8 Travel Tips for your Beginner Surf Trip to Bali,ADDED,160 nationalities,https://www.indonesia.travel/in/en/trip-ideas/visa-free-for-169-countries-to-travel-to-indonesia,https://www.indonesia.travel/in/en/trip-ideas/visa-free-for-169-countries-to-travel-to-indonesia,external
planning-a-surf-trip-to-the-tropics-10-essentials-you-shouldnt-forget,Planning a Tropical Surf Trip? Don’t Forget to Pack these 10 Essentials!,ADDED,BOOK NOW,https://bookings.rapturecamps.com/frontoffice/,https://bookings.rapturecamps.com/frontoffice/,external
speak-like-a-surfer,47 Surfing Terms To Speak Surf Like a Pro,SKIPPED_NOT_FOUND,surfing in a wetsuit,https://www.rapturecamps.com/blog/choosing-wetsuits-for-surfing/,/blog/choosing-wetsuits-for-surfing,internal
speak-like-a-surfer,47 Surfing Terms To Speak Surf Like a Pro,SKIPPED_NOT_FOUND,shaka,https://www.rapturecamps.com/blog/the-meaning-and-history-of-shaka/,/blog/the-meaning-and-history-of-shaka,internal
speak-like-a-surfer,47 Surfing Terms To Speak Surf Like a Pro,SKIPPED_NOT_FOUND,"Ana Isa
										Surf Trip Expert",https://www.rapturecamps.com/meet-us-online/,/meet-us,internal
7-of-the-weirdest-waves-around-the-world-and-where-to-find-them,7 Weirdest Waves To Surf around the Globe – Where are they?,SKIPPED_NOT_FOUND,African Budget Safaris,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.africanbudgetsafaris.com%2F%3Ffbclid%3DIwAR3l5b1cRvKeJ4_TsmAPH4QkxvXSBjaWdmlWLreebhM0njrqtLyFjgWMSyU&h=AT0fAHnE34_MwDT208-KkqUjcVoYvizY_7sJyykIyiKi98RZcG2OAjizYjvO-n-tgmSQA_KR8L5SSKmk9SrzZHxMqKJL-LiLJfTlSHO28s5fMYTNZNvfqF_jwzXhtpy7pzCDyodiU6vNXCF3Y1YDmuPCwwg,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.africanbudgetsafaris.com%2F%3Ffbclid%3DIwAR3l5b1cRvKeJ4_TsmAPH4QkxvXSBjaWdmlWLreebhM0njrqtLyFjgWMSyU&h=AT0fAHnE34_MwDT208-KkqUjcVoYvizY_7sJyykIyiKi98RZcG2OAjizYjvO-n-tgmSQA_KR8L5SSKmk9SrzZHxMqKJL-LiLJfTlSHO28s5fMYTNZNvfqF_jwzXhtpy7pzCDyodiU6vNXCF3Y1YDmuPCwwg,external
surf-ericeira,Surfing Ericeira – Europe’s Only World Surfing Reserve,ADDED,its own “king”,https://www.ericeirablog.com/ericeira-and-its-king/,https://www.ericeirablog.com/ericeira-and-its-king/,external
surfing-uluwatu,Surfing Uluwatu in Bali –  World-Class Reef Breaks in Bali,ADDED,Pura Luhur Uluwatu,https://www.bali.com/temple_Uluwatu_Pura-Luhur-Uluwatu_82.html,https://www.bali.com/temple_Uluwatu_Pura-Luhur-Uluwatu_82.html,external
rapturecamps-response-to-coronavirus,A message from Rapturecamps about COVID-19,ADDED,Indonesia Travel,https://www.indonesia.travel/gb/en/news/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response,https://www.indonesia.travel/gb/en/news/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response,external
rapturecamps-response-to-coronavirus,A message from Rapturecamps about COVID-19,ADDED,Apple Store,https://apps.apple.com/pt/app/info-praia/id1467347173,https://apps.apple.com/pt/app/info-praia/id1467347173,external
rapturecamps-response-to-coronavirus,A message from Rapturecamps about COVID-19,ADDED,Google Play,https://play.google.com/store/apps/details?id=pt.apambiente.info_praia&hl=pt_PT,https://play.google.com/store/apps/details?id=pt.apambiente.info_praia&hl=pt_PT,external
from-our-surf-house-in-ericeira-paddle-to-purpose,From our surf house in Ericeira: Paddle to Purpose,ADDED,WATCH NOW,https://www.paddletopurpose.com/,https://www.paddletopurpose.com/,external
eco-surf-rescue-uluwatu,Eco Surf Rescue Uluwatu: Keeping Uluwatu Clean!,ADDED,interviewed,https://xgames.espn.go.com/article/7265532/eco-warrior-james-pribram-returns-uluwatu-mission,https://xgames.espn.go.com/article/7265532/eco-warrior-james-pribram-returns-uluwatu-mission,external
