Type,Lang,URL,Target Keyword,Page Title,Title Len,KW in Title,H1,KW in H1,Meta Description,Desc Status,KW in Desc,Issues
Surf,EN,/surfcamp/portugal/ericeira-lizandro/surf,Surf School Ericeira,Surf School Ericeira - Beachfront Camp · Rapture,48,YES,Surf School Ericeira – Learn to Surf with Local Experts,YES,"Learn to surf in Europe's only World Surfing Reserve. Ride green waves within 7 days, backed by 21+ years of camp expertise. Book your spot in Ericeira today.",OK (158 chars),NO,KW missing from desc
Surf,DE,/de/surfcamp/portugal/ericeira-lizandro/surf,Surfschule Ericeira,Surfkurs Ericeira - Direkt am Strand Surfen · Rapture,53,NO,Surfschule Ericeira – Portugal,YES,Surfen lernen im einzigen World Surfing Reserve Europas. Grüne Wellen in 5 Tagen – mit 21+ Jahren Camp-Erfahrung direkt am Foz do Lizandro Beach. Jetzt buchen.,OK (159 chars),NO,KW missing from title; KW missing from desc
Surf,EN,/surfcamp/portugal/ericeira-coxos-surf-villa/surf,Surf Lessons Coxos,Surf School Ericeira – Coxos Surf Villa · Rapture,49,NO,Surf Lessons Ericeira – Portugal,NO,"Learn to surf at Europe's only World Surfing Reserve. Stay in our ocean-view villa above Coxos Beach with an infinity pool, daily lessons & shuttles.",OK (149 chars),NO,KW missing from title; KW missing from H1; KW missing from desc
Surf,DE,/de/surfcamp/portugal/ericeira-coxos-surf-villa/surf,Surfkurs Coxos,Surfschule Ericeira – Coxos Surf Villa · Rapture,48,NO,Surf Stunden Ericeira – Portugal,NO,"Surfen lernen im einzigen World Surfing Reserve Europas. Villa über dem Coxos Beach mit Infinity Pool, täglichen Surfkursen & 4 Shuttles. Jetzt buchen.",OK (151 chars),NO,KW missing from title; KW missing from H1; KW missing from desc
Surf,EN,/surfcamp/portugal/alentejo-milfontes/surf,Surf Lessons Milfontes,Surf Lessons Milfontes - Eco Camp in National Park · Rapture,60,YES,Surf Lessons Milfontes – Learn to Surf in Vila Nova de Milfontes,YES,"Learn to surf on uncrowded Alentejo beaches, inside a Natural Park. All-inclusive: lessons, daily meals & beach transfers included. Book your spot today.",OK (153 chars),NO,KW missing from desc
Surf,DE,/de/surfcamp/portugal/alentejo-milfontes/surf,Surfkurs Milfontes,Surfkurs Milfontes - Eco-Camp im Nationalpark · Rapture,55,YES,Surfkurs Milfontes – Portugal,YES,"Surfen lernen an ruhigen Stränden im Naturpark Alentejo. All-inclusive: Unterricht, tägliche Mahlzeiten & Strand-Transfer inklusive. Jetzt Platz sichern.",OK (153 chars),NO,KW missing from desc
Surf,EN,/surfcamp/bali/padang-padang/surf,Surf Lessons Padang Padang,Surf Lessons Padang Padang - Twice Daily · Rapture,50,YES,Surf Lessons Padang Padang – Bali,YES,"Learn on Padang Right or progress to the legendary Left. Tide-timed lessons twice daily, boards chosen for you. 85k+ surfers taught. Book your spot today.",OK (154 chars),NO,KW missing from desc
Surf,DE,/de/surfcamp/bali/padang-padang/surf,Surfkurs Padang Padang,Surfkurs Padang Padang - 2x täglich & Board inkl. · Rapture,59,YES,Surfkurs Padang Padang – Bali,YES,"Sanfte Wellen für Anfänger, legendäre Lefts für Fortgeschrittene – direkt am selben Strand. Gezeitenoptimiert, 2x täglich. Über 85k+ Surfer. Jetzt buchen.",OK (154 chars),NO,KW missing from desc
Surf,EN,/surfcamp/bali/green-bowl/surf,Surf Lessons Green Bowl,Surf Lessons Green Bowl Bali - Uncrowded Waves · Rapture,56,YES,Surf Lessons Green Bowl – Bali’s Hidden Surf Paradise,YES,"Learn to surf at Bali's most secluded beach. All levels, daily lessons, video analysis & transfers to 30+ spots included. Book your wave today.",OK (143 chars),NO,KW missing from desc
Surf,DE,/de/surfcamp/bali/green-bowl/surf,Surfkurs Green Bowl,Surfkurs Green Bowl Bali - Surfen ohne Massen · Rapture,55,YES,Surfkurs Green Bowl – Balis verborgenes Surfparadies,YES,"Surfunterricht für alle Level an Balis ruhigstem Strand. Tägliche Kurse, Videoanalyse & Transfers zu 30+ Spots inklusive. Jetzt Platz sichern.",OK (142 chars),NO,KW missing from desc
Surf,EN,/surfcamp/costa-rica/avellanas/surf,Surf Lessons Avellanas,Surf Lessons Avellanas Costa Rica - Jungle Camp · Rapture,57,YES,Surf Lessons Avellanas – Costa Rica,YES,"All-levels surf lessons steps from 6 breaks at Playa Avellanas. Stay in our awarded jungle camp with pool, yoga & locally-sourced meals. Book your stay today.",OK (158 chars),NO,KW missing from desc
Surf,DE,/de/surfcamp/costa-rica/avellanas/surf,Surfkurs Avellanas,Surfkurs Avellanas Costa Rica - Jungle Surfcamp · Rapture,57,YES,Surf Kurs Avellanas – Costa Rica,NO,"Surfkurse für alle Levels direkt an 6 Breaks in Playa Avellanas. Renoviertes Dschungel-Surfcamp mit Pool, Yoga & frischen Mahlzeiten. Jetzt Platz sichern.",OK (154 chars),NO,KW missing from H1; KW missing from desc
